layer,head,mean_importance,imp_shortcut,imp_nuanced
8,26,2.183592,2.69086,2.172733
8,24,2.176517,2.690551,2.175075
8,29,2.172748,2.679686,2.1646
8,3,2.167071,2.670988,2.155118
8,19,2.166725,2.669921,2.16732
8,31,2.165131,2.652439,2.172177
8,13,2.156741,2.669187,2.153892
9,16,2.155422,2.637303,2.154763
8,17,2.146617,2.644886,2.133046
8,14,2.146599,2.646426,2.129976
8,6,2.14589,2.65619,2.15378
9,12,2.142587,2.612562,2.166073
8,10,2.138276,2.616199,2.143905
8,5,2.136966,2.650216,2.127215
8,15,2.136958,2.629428,2.151896
8,32,2.136247,2.635301,2.125612
8,20,2.135243,2.623299,2.147879
8,21,2.130807,2.633497,2.13649
8,23,2.128961,2.617723,2.122786
8,7,2.127512,2.632987,2.111055
8,22,2.126272,2.61477,2.120935
8,11,2.125464,2.633037,2.117527
8,8,2.114348,2.60764,2.107901
8,28,2.113363,2.589827,2.125315
8,27,2.112026,2.608391,2.106241
9,1,2.111414,2.580999,2.12742
8,9,2.109984,2.605263,2.104267
8,30,2.107784,2.594155,2.11072
8,18,2.106349,2.596018,2.09431
8,4,2.105014,2.588259,2.09324
9,2,2.074264,2.555735,2.065402
9,24,2.055536,2.555055,2.061399
9,26,2.054577,2.537125,2.048958
10,16,2.045372,2.472863,2.053421
9,31,2.043497,2.515143,2.051217
9,29,2.043099,2.507807,2.058215
9,25,2.039233,2.500916,2.044769
9,17,2.037611,2.49987,2.027813
9,4,2.03615,2.481488,2.050588
9,13,2.031409,2.500458,2.043051
9,19,2.030599,2.498879,2.037654
9,3,2.028612,2.487183,2.050918
9,10,2.025883,2.481019,2.040427
9,11,2.023756,2.493486,2.030942
9,32,2.022135,2.470436,2.040648
10,12,2.022111,2.435625,2.071718
9,6,2.01842,2.47467,2.025747
9,20,2.018183,2.491879,2.035511
9,30,2.017788,2.467395,2.035933
9,21,2.015153,2.460696,2.03533
9,7,2.011522,2.502087,2.015098
9,22,2.009518,2.474796,2.019068
