u_id,true_country,facet,is_shortcut,is_nuanced,commitment_layer,committed,prob_at_commit,prob_at_layer_8,prob_at_layer_30,prob_final,rank_final
39456870-dff9-4521-85a7-8ce1e1156572,Rwanda,drink,True,False,33,False,0.0,0.019014660269021988,0.020547794178128242,0.01344193983823061,7
d501d03b-8677-427a-bd3c-80ef26349cf6,Rwanda,rituals,False,False,33,False,0.0,0.021304870024323463,0.016337648034095764,0.023846345022320747,5
f7c40fe4-ac32-46c5-922c-89e85b650906,Rwanda,rituals,False,False,33,False,0.0,0.021283378824591637,0.0160591471940279,0.04212743416428566,5
1192021a-598b-48bb-be52-9f576e627384,Rwanda,rituals,True,False,33,False,0.0,0.013442721217870712,0.02319171652197838,0.033658791333436966,7
86ea271d-4352-4963-80a2-96b496b9ab50,Rwanda,rituals,True,False,33,False,0.0,0.017776498571038246,0.004669740796089172,0.008661470375955105,6
9ade2c60-6dfc-4eaf-bfc4-f317af15ac60,Rwanda,rituals,False,False,30,True,0.07079198211431503,0.015694385394454002,0.07079198211431503,0.09156345576047897,1
ff0bce0b-7179-486e-9d05-9efa37b21512,Germany,traditions,False,False,18,True,0.1486428827047348,0.31370624899864197,0.9983306527137756,0.997739315032959,0
e6e586b2-3904-40e5-8fcd-0e8201909ad0,Germany,traditions,False,False,18,True,0.10326651483774185,0.2913065552711487,0.44630634784698486,0.2745598256587982,1
dd47b69e-013f-4997-9504-4d2e8a37342d,Germany,traditions,False,False,18,True,0.11977001279592514,0.30787402391433716,0.9397119283676147,0.9664172530174255,0
b3d8b8f5-af2a-416e-b0ff-deaa2a94d8e5,Germany,traditions,False,False,18,True,0.14823511242866516,0.28072866797447205,0.7691945433616638,0.8188274502754211,0
82215031-0639-473d-8f9c-7c9de723779d,Germany,traditions,False,False,17,True,0.09247053414583206,0.32855090498924255,0.9733698964118958,0.9851101636886597,0
39733d4c-5b90-473a-b873-d62f74e809fa,Germany,food,False,False,18,True,0.11274812370538712,0.3204595446586609,0.9426558613777161,0.9529907703399658,0
bcc78c9f-680f-41a8-959a-b71924fe3835,Germany,food,False,False,17,True,0.08494492620229721,0.30781832337379456,0.9887407422065735,0.9845761060714722,0
e3ca3318-1490-4d72-bed8-d9c1813ed430,Germany,food,False,False,18,True,0.1365738809108734,0.3134329915046692,0.8068680763244629,0.8546389937400818,0
e59b1cbd-2cfd-428a-b1f4-fba8cbfb08ec,Germany,food,False,False,17,True,0.0984470471739769,0.3127509653568268,0.9844698905944824,0.9830440878868103,0
