u_id,model,rho_mean_vs_black,pval_mean_vs_black,rho_mean_vs_noise,pval_mean_vs_noise,rho_black_vs_noise,pval_black_vs_noise,mean_rho
09180ea8-c1bf-4724-9f70-7501f4f20cf4,clip,0.5409,0.0001,0.7689,0.0,0.3692,0.009,0.5597
d87f6641-66de-446e-a933-47ad83edc1f0,clip,0.7379,0.0,0.6592,0.0,0.6457,0.0,0.6809
fbe240a9-76de-4a92-8136-ea1716764e8d,clip,0.815,0.0,0.3782,0.0074,0.245,0.0897,0.4794
34dd1cb8-5e75-42fb-933a-79c31b9a7dbe,clip,0.7324,0.0,0.1228,0.4006,-0.0355,0.8088,0.2732
829128f6-3b16-48aa-9654-69ba391bc9c6,clip,0.9117,0.0,0.5787,0.0,0.6444,0.0,0.7116
f4247462-9218-4cf6-9952-434510763b03,clip,0.7827,0.0,0.7564,0.0,0.7023,0.0,0.7471
e0ab0bf7-2f4f-4f11-a030-bf9080c1007d,clip,0.7292,0.0,0.4999,0.0003,0.6979,0.0,0.6423
e7fcffa3-291f-4074-8452-afb7753bd3eb,clip,0.7969,0.0,0.2499,0.0833,0.2478,0.086,0.4316
6a9e5e3f-fc05-4c27-99e0-8f62cbfbce0a,clip,-0.007,0.9617,0.2526,0.08,-0.1883,0.1952,0.0191
0aa13c4d-b47c-4bc7-a4bb-957561dbad02,clip,0.6685,0.0,0.4172,0.0029,0.5384,0.0001,0.5414
34057f2e-1376-4a8d-92f0-6edc0ffa859b,clip,0.746,0.0,0.4529,0.0011,0.3451,0.0152,0.5147
fd222649-bb5d-4bca-aedb-57a9bb3f9a4e,clip,0.4898,0.0004,0.2916,0.042,0.3036,0.034,0.3617
2bec6a9c-431a-4dfa-bd02-57b455d95a3a,clip,0.7819,0.0,0.5822,0.0,0.6154,0.0,0.6599
2ffd117c-1a33-4b7a-a359-c3bb9ad35cec,clip,0.8249,0.0,0.8106,0.0,0.8835,0.0,0.8397
6be2a046-67c7-4a4c-b67c-31d41a0714a5,clip,0.7819,0.0,0.5822,0.0,0.6154,0.0,0.6599
d0e20d67-24e5-4292-9222-4b60fdeb3b4f,clip,0.7398,0.0,0.5726,0.0,0.567,0.0,0.6265
1a8a184f-8ace-4cf9-a732-af3ceedef990,clip,0.9554,0.0,0.9096,0.0,0.891,0.0,0.9187
